Station  Lat(+N,deg)  Lon(+E,deg)  E Displacement  N Displacement  V Displacement  Sigma E  Sigma N  Sigma U 
MGRP      -19.2099      -46.1326      1.89079449      -10.42295304      4.98552973      0.74951613      0.695      3.00216129
ROCD      -13.1223      -60.5439      -7.56795795      31.80893832      -7.95293426      0.78187097      0.67577419      2.9983871
SCCH      -27.1376      -52.5995      3.15995692      -1.89323556      -0.67054776      0.81767742      0.83790323      3.76164516
LVRA      -22.5179      -66.3056      5.25284813      8.37137437      0.8390362      0.83654839      0.79135484      3.52296774
MTJI      -11.4487      -58.7236      10.22217955      -32.60264674      -10.12655076      0.81274194      0.73164516      3.22977419
CHAC      -27.4204      -58.9597      2.85320799      -10.54726715      -5.36961735      0.72777419      0.77009677      3.08832258
SURI      -18.8538      -69.1434      -38.75276262      -67.32051209      -8.04926401      1.227      1.172      5.993
OVLL      -30.6037      -71.2039      103.9182322      56.18220738      1.26231513      0.81022581      0.86751613      3.4526129
NAUS      -3.0229      -60.055      -0.99900402      12.8769928      -36.62248673      0.831625      0.73266667      3.22579167
AREG      -16.4654      -71.4929      -19.68025131      -26.17304605      -0.94881289      0.77951613      0.69319355      3.06622581
AEDA      -20.5462      -70.1777      16.67906337      16.41202891      -2.36234071      0.85106452      0.78329032      3.68306452
IFSC      -27.5944      -48.5421      9.90982545      -43.03459866      -6.45594583      0.87122581      0.81480645      3.88403226
MTNX      -14.6975      -52.3492      4.21939742      -16.07567678      -7.50272551      0.75958065      0.66864516      2.97145161
RIOB      -9.9655      -67.8028      -0.84241054      8.62228033      -8.47810842      0.84012903      0.73764516      3.27496774
ROJI      -10.8639      -61.9597      -0.06491847      4.03737651      -14.67785      0.78396774      0.6716129      2.99209677
UYRI      -30.8958      -55.5591      7.33765846      -36.0681477      -6.28687748      0.82533333      0.9022      3.6292
APLJ      -0.822      -52.5156      12.53144521      -40.69784183      -12.42985181      0.82944828      0.7427931      3.15051724
PATA      -40.7967      -62.9894      6.14154259      -25.86290571      -1.45209286      0.66393548      0.84332258      2.72464516
GTA1      -20.5657      -70.1807      -82.55052895      -66.18398438      -1.00481575      0.7796129      0.75577419      3.25151613
CHMA      -37.374      -70.2769      22.41122598      -34.32928874      -4.08245159      0.91970968      1.05174194      4.1366129
PAAT      -3.201      -52.1813      -15.764519      42.51043269      -18.4274602      1.08465517      0.981      4.89758621
VBCA      -38.7008      -62.2692      2.68387842      13.8498895      -5.08371029      1.0086129      1.14364516      4.38574194
BCH1      -41.1468      -71.2989      -5.29375055      -37.71658411      3.31591594      0.69864516      0.88870968      2.86541935
CONE      -0.66      -78.4137      3.68886295      13.34442836      -4.86171884      0.87983871      0.74577419      3.5883871
PRGU      -25.384      -51.4876      0.18811244      -4.32657704      -3.65949716      0.84863333      0.81513333      3.93
MZAU      -33.736      -69.1184      4.05762844      -10.94467443      -9.42947668      0.69167742      0.78319355      2.83835484
UYFS      -33.516      -56.8869      7.56955447      -31.33712677      -0.02818337      0.79564516      0.9176129      3.53616129
AMTE      -3.3457      -64.7067      10.88160653      -32.49032145      -31.28317374      0.97458065      0.88329032      4.19883871
CHIM      -39.1637      -66.1465      16.14133675      -39.63986888      0.11924883      0.67635484      0.84009677      2.81370968
UYMO      -34.8883      -56.2599      5.62157937      -27.6778073      -3.8526574      0.77670968      0.90832258      3.38722581
